0,A-Class,0,2022
1,A-Class,0,2021
2,A3,1,2023
3,A3,1,2022
4,A3,1,2020
5,A4,1,2023
6,A4,1,2022
7,A4,1,2021
8,A4 allroad,1,2022
9,A4 allroad,1,2021
10,A5,1,2023
11,A5,1,2022
12,A5,1,2021
13,A6,1,2022
14,A6,1,2021
15,A6 allroad,1,2022
16,A6 allroad,1,2021
17,A7,1,2022
18,A7,1,2021
19,A8,1,2022
20,A8,1,2021
21,Acadia,9,2023
22,Acadia,9,2022
23,Acadia,9,2021
24,Accent,10,2022
25,Accent,10,2021
26,Accord,11,2023
27,Accord,11,2022
28,Accord,11,2021
29,Accord Hybrid,11,2022
30,Accord Hybrid,11,2021
31,Air,13,2022
32,Altima,14,2023
33,Altima,14,2022
34,Altima,14,2021
35,Ariya,14,2023
36,Armada,14,2023
37,Armada,14,2022
38,Armada,14,2021
39,Arteon,17,2022
40,Arteon,17,2021
41,Ascent,18,2023
42,Ascent,18,2022
43,Ascent,18,2021
44,Atlas,17,2023
45,Atlas,17,2022
46,Atlas,17,2021
47,Atlas Cross Sport,17,2023
48,Atlas Cross Sport,17,2022
49,Atlas Cross Sport,17,2021
50,Avalon,21,2022
51,Avalon,21,2021
52,Avalon Hybrid,21,2022
53,Avalon Hybrid,21,2021
54,Aventador,23,2021
55,Aviator,24,2023
56,Aviator,24,2022
57,Aviator,24,2021
58,Bentayga,25,2021
59,Blazer,26,2023
60,Blazer,26,2022
61,Blazer,26,2021
62,Blazer EV,26,2024
63,Bolt EUV,26,2023
64,Bolt EUV,26,2022
65,Bolt EV,26,2023
66,Bolt EV,26,2022
67,Bolt EV,26,2021
68,Bronco,30,2023
69,Bronco,30,2022
70,Bronco,30,2021
71,Bronco Sport,30,2023
72,Bronco Sport,30,2022
73,Bronco Sport,30,2021
74,BRZ,18,2023
75,BRZ,18,2022
76,BRZ,18,2020
77,bZ4X,21,2023
78,C-Class,0,2023
79,C-Class,0,2022
80,C-Class,0,2021
81,C-HR,21,2023
82,C-HR,21,2022
83,C-HR,21,2021
84,C40 Recharge,36,2023
85,C40 Recharge,36,2022
86,Cadenza,37,2020
87,Camaro,26,2023
88,Camaro,26,2022
89,Camaro,26,2021
90,Camry,21,2023
91,Camry,21,2022
92,Camry,21,2021
93,Camry Hybrid,21,2022
94,Camry Hybrid,21,2021
95,Canyon Crew Cab,9,2023
96,Canyon Crew Cab,9,2022
97,Canyon Crew Cab,9,2021
98,Canyon Extended Cab,9,2022
99,Canyon Extended Cab,9,2021
100,Carnival,37,2023
101,Carnival,37,2022
102,Cayenne,44,2023
103,Cayenne,44,2022
104,Cayenne,44,2021
105,Cayenne Coupe,44,2022
106,Cayenne Coupe,44,2021
107,Challenger,46,2023
108,Challenger,46,2022
109,Challenger,46,2021
110,Charger,46,2023
111,Charger,46,2022
112,Charger,46,2021
113,Cherokee,48,2022
114,Cherokee,48,2021
115,Civic,11,2023
116,Civic,11,2022
117,Civic,11,2021
118,Civic Type R,11,2022
119,Civic Type R,11,2021
120,CLA,0,2022
121,CLA,0,2021
122,Clarity Fuel Cell,11,2021
123,Clarity Plug-in Hybrid,11,2021
124,CLS,0,2022
125,CLS,0,2021
126,Clubman,55,2023
127,Clubman,55,2022
128,Clubman,55,2021
129,Colorado Crew Cab,26,2023
130,Colorado Crew Cab,26,2022
131,Colorado Crew Cab,26,2021
132,Colorado Extended Cab,26,2022
133,Colorado Extended Cab,26,2021
134,Compass,48,2023
135,Compass,48,2022
136,Compass,48,2021
137,Continental,24,2020
138,Continental GT,25,2021
139,Convertible,55,2022
140,Convertible,55,2021
141,Corolla,21,2023
142,Corolla,21,2022
143,Corolla,21,2021
144,Corolla Cross,21,2022
145,Corolla Hatchback,21,2022
146,Corolla Hatchback,21,2021
147,Corolla Hybrid,21,2022
148,Corolla Hybrid,21,2021
149,Corsair,24,2023
150,Corsair,24,2022
151,Corsair,24,2021
152,Corvette,26,2023
153,Corvette,26,2022
154,Corvette,26,2021
155,Countryman,55,2023
156,Countryman,55,2022
157,Countryman,55,2021
158,CR-V,11,2023
159,CR-V,11,2022
160,CR-V,11,2021
161,CR-V Hybrid,11,2022
162,CR-V Hybrid,11,2021
163,Crosstrek,18,2023
164,Crosstrek,18,2022
165,Crosstrek,18,2021
166,CT4,72,2022
167,CT4,72,2021
168,CT5,72,2022
169,CT5,72,2021
170,CT6,72,2020
171,CT6-V,72,2020
172,Cullinan,76,2021
173,CX-3,77,2021
174,CX-30,77,2023
175,CX-30,77,2022
176,CX-30,77,2021
177,CX-5,77,2022
178,CX-5,77,2021
179,CX-50,77,2023
180,CX-70,77,2024
181,CX-9,77,2022
182,CX-9,77,2021
183,CX-90,77,2023
